iter	Passed	Remaining
0	139	139726
1	140	70156
2	141	46921
3	141	35301
4	142	28338
5	143	23694
6	143	20373
7	144	17880
8	144	15941
9	145	14390
10	145	13120
11	146	12063
12	147	11168
13	147	10402
14	148	9738
15	148	9157
16	149	8643
17	150	8185
18	150	7776
19	151	7406
20	151	7070
21	152	6764
22	152	6483
23	153	6226
24	153	5990
25	154	5771
26	154	5569
27	155	5381
28	155	5205
29	155	5042
30	156	4890
31	156	4746
32	157	4612
33	157	4485
34	158	4366
35	158	4253
36	159	4146
37	159	4045
38	160	3949
39	160	3858
40	161	3772
41	161	3690
42	162	3613
43	162	3538
44	163	3466
45	163	3397
46	164	3331
47	164	3268
48	165	3208
49	165	3150
50	166	3093
51	166	3040
52	167	2988
53	167	2938
54	168	2890
55	168	2843
56	169	2798
57	169	2755
58	170	2713
59	170	2672
60	171	2633
61	171	2595
62	172	2558
63	172	2522
64	172	2487
65	173	2454
66	173	2421
67	174	2390
68	174	2359
69	175	2330
70	175	2301
71	176	2272
72	176	2245
73	177	2218
74	177	2192
75	178	2167
76	178	2142
77	179	2118
78	179	2095
79	180	2072
80	180	2047
81	180	2025
82	181	2004
83	181	1983
84	182	1963
85	182	1943
86	183	1924
87	183	1905
88	184	1886
89	184	1868
90	185	1850
91	185	1833
92	186	1816
93	186	1799
94	187	1783
95	187	1766
96	188	1751
97	188	1735
98	189	1720
99	189	1705
100	190	1691
101	190	1677
102	190	1663
103	191	1649
104	191	1636
105	192	1622
106	192	1609
107	193	1597
108	193	1584
109	194	1572
110	194	1558
111	195	1546
112	195	1534
113	196	1523
114	196	1512
115	196	1501
116	197	1490
117	197	1479
118	198	1468
119	198	1457
120	199	1447
121	199	1437
122	200	1427
123	200	1417
124	201	1408
125	201	1398
126	202	1389
127	202	1380
128	203	1372
129	203	1363
130	204	1354
131	204	1346
132	205	1337
133	205	1329
134	206	1321
135	206	1313
136	207	1305
137	207	1297
138	208	1289
139	208	1281
140	208	1272
141	209	1264
142	209	1257
143	210	1248
144	210	1241
145	210	1234
146	211	1227
147	211	1220
148	212	1213
149	212	1206
150	213	1199
151	213	1193
152	214	1186
153	214	1180
154	215	1173
155	215	1167
156	216	1161
157	216	1155
158	217	1149
159	217	1143
160	218	1137
161	218	1131
162	219	1125
163	219	1119
164	220	1113
165	220	1107
166	220	1102
167	221	1096
168	221	1091
169	222	1085
170	222	1080
171	223	1075
172	223	1070
173	224	1065
174	224	1059
175	225	1054
176	225	1049
177	226	1044
178	226	1040
179	227	1035
180	227	1030
181	228	1025
182	228	1020
183	229	1016
184	229	1011
185	230	1007
186	230	1002
187	231	998
188	231	993
189	232	989
190	232	984
191	233	980
192	233	976
193	233	971
194	234	967
195	234	963
196	235	959
197	235	955
198	236	951
199	236	947
200	237	943
201	237	939
202	238	935
203	238	931
204	239	927
205	239	923
206	240	920
207	240	916
208	241	912
209	241	908
210	242	905
211	242	901
212	243	898
213	243	894
214	244	890
215	244	887
216	244	883
217	245	880
218	245	876
219	246	873
220	246	870
221	247	866
222	247	863
223	248	860
224	248	856
225	249	853
226	249	850
227	250	847
228	250	843
229	251	840
230	251	837
231	252	834
232	252	831
233	253	828
234	253	825
235	254	822
236	254	819
237	254	816
238	255	813
239	255	810
240	256	807
241	256	804
242	257	801
243	257	798
244	258	796
245	258	793
246	259	790
247	259	787
248	260	784
249	260	782
250	261	779
251	261	776
252	262	774
253	262	771
254	263	768
255	263	766
256	264	763
257	264	760
258	265	758
259	265	755
260	265	753
261	266	750
262	266	748
263	267	745
264	267	742
265	268	740
266	268	738
267	269	735
268	269	733
269	270	730
270	270	728
271	271	726
272	271	723
273	272	721
274	272	718
275	273	716
276	273	714
277	274	711
278	274	709
279	275	707
280	275	705
281	276	703
282	276	700
283	277	698
284	277	696
285	278	694
286	278	691
287	279	689
288	279	687
289	280	685
290	280	683
291	280	681
292	281	679
293	281	677
294	282	675
295	282	672
296	283	670
297	283	668
298	284	666
299	284	664
300	285	662
301	285	660
302	286	658
303	286	656
304	287	654
305	287	652
306	288	650
307	288	648
308	289	646
309	289	644
310	290	642
311	290	640
312	291	638
313	291	636
314	291	634
315	292	632
316	292	631
317	293	629
318	293	627
319	294	625
320	294	623
321	295	621
322	295	619
323	296	618
324	296	616
325	297	614
326	297	612
327	298	610
328	298	609
329	299	607
330	299	605
331	300	603
332	300	602
333	301	600
334	301	598
335	302	596
336	302	595
337	303	593
338	303	592
339	304	590
340	304	589
341	305	587
342	305	585
343	306	584
344	307	582
345	307	581
346	308	580
347	308	578
348	309	577
349	309	575
350	310	574
351	310	572
352	311	570
353	311	569
354	312	567
355	312	566
356	313	564
357	313	562
